Date,Open,High,Low,Close,Adj Close,Volume
05/02/2020,3324.909912,3337.580078,3313.75,3334.689941,3334.689941,4117730000
06/02/2020,3344.919922,3347.959961,3334.389893,3345.780029,3345.780029,3868370000
07/02/2020,3335.540039,3341.419922,3322.120117,3327.709961,3327.709961,3730650000
10/02/2020,3318.280029,3352.26001,3317.77002,3352.090088,3352.090088,3450350000
11/02/2020,3365.870117,3375.629883,3352.719971,3357.75,3357.75,3760550000
12/02/2020,3370.5,3381.469971,3369.719971,3379.449951,3379.449951,3926380000
13/02/2020,3365.899902,3385.090088,3360.52002,3373.939941,3373.939941,3498240000
14/02/2020,3378.080078,3380.689941,3366.149902,3380.159912,3380.159912,3398040000
18/02/2020,3369.040039,3375.01001,3355.610107,3370.290039,3370.290039,3746720000
19/02/2020,3380.389893,3393.52002,3378.830078,3386.149902,3386.149902,3600150000
20/02/2020,3380.449951,3389.149902,3341.02002,3373.22998,3373.22998,4007320000
21/02/2020,3360.5,3360.76001,3328.449951,3337.75,3337.75,3899270000
24/02/2020,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4842960000
25/02/2020,3238.939941,3246.98999,3118.77002,3128.209961,3128.209961,5591510000
26/02/2020,3139.899902,3182.51001,3108.98999,3116.389893,3116.389893,5478110000
27/02/2020,3062.540039,3097.070068,2977.389893,2978.76001,2978.76001,7058840000
28/02/2020,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8563850000
02/03/2020,2974.280029,3090.959961,2945.189941,3090.22998,3090.22998,6376400000
03/03/2020,3096.459961,3136.719971,2976.629883,3003.370117,3003.370117,6355940000
04/03/2020,3045.75,3130.969971,3034.379883,3130.120117,3130.120117,5035480000
05/03/2020,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5575550000
06/03/2020,2954.199951,2985.929932,2901.540039,2972.370117,2972.370117,6552140000
09/03/2020,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000
10/03/2020,2813.47998,2882.590088,2734,2882.22998,2882.22998,7635960000
11/03/2020,2825.600098,2825.600098,2707.219971,2741.379883,2741.379883,7374110000
12/03/2020,2630.860107,2660.949951,2478.860107,2480.639893,2480.639893,8829380000
13/03/2020,2569.98999,2711.330078,2492.370117,2711.02002,2711.02002,8258670000
16/03/2020,2508.590088,2562.97998,2380.939941,2386.129883,2386.129883,7781540000
17/03/2020,2425.659912,2553.929932,2367.040039,2529.189941,2529.189941,8358500000
18/03/2020,2436.5,2453.570068,2280.52002,2398.100098,2398.100098,8755780000
19/03/2020,2393.47998,2466.969971,2319.780029,2409.389893,2409.389893,7946710000
20/03/2020,2431.939941,2453.01001,2295.560059,2304.919922,2304.919922,9044690000
23/03/2020,2290.709961,2300.72998,2191.860107,2237.399902,2237.399902,7402180000
24/03/2020,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000
25/03/2020,2457.77002,2571.419922,2407.530029,2475.560059,2475.560059,8285670000
26/03/2020,2501.290039,2637.01001,2500.719971,2630.070068,2630.070068,7753160000
27/03/2020,2555.870117,2615.909912,2520.02002,2541.469971,2541.469971,6194330000
30/03/2020,2558.97998,2631.800049,2545.280029,2626.649902,2626.649902,5746220000
31/03/2020,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000
01/04/2020,2498.080078,2522.75,2447.48999,2470.5,2470.5,5947900000
02/04/2020,2458.540039,2533.219971,2455.790039,2526.899902,2526.899902,6454990000
03/04/2020,2514.919922,2538.179932,2459.959961,2488.649902,2488.649902,6087190000
06/04/2020,2578.280029,2676.850098,2574.570068,2663.679932,2663.679932,6391860000
07/04/2020,2738.649902,2756.889893,2657.669922,2659.409912,2659.409912,7040720000
08/04/2020,2685,2760.75,2663.300049,2749.97998,2749.97998,5856370000
09/04/2020,2776.98999,2818.570068,2762.360107,2789.820068,2789.820068,7880140000
13/04/2020,2782.459961,2782.459961,2721.169922,2761.629883,2761.629883,5274310000
14/04/2020,2805.100098,2851.850098,2805.100098,2846.060059,2846.060059,5567400000
15/04/2020,2795.639893,2801.879883,2761.540039,2783.360107,2783.360107,5203390000
16/04/2020,2799.340088,2806.51001,2764.320068,2799.550049,2799.550049,5179990000
17/04/2020,2842.429932,2879.219971,2830.879883,2874.560059,2874.560059,5792140000
20/04/2020,2845.620117,2868.97998,2820.429932,2823.159912,2823.159912,5220160000
21/04/2020,2784.810059,2785.540039,2727.100098,2736.560059,2736.560059,5075830000
22/04/2020,2787.889893,2815.100098,2775.949951,2799.310059,2799.310059,5049660000
23/04/2020,2810.419922,2844.899902,2794.26001,2797.800049,2797.800049,5756520000
24/04/2020,2812.639893,2842.709961,2791.76001,2836.73999,2836.73999,5374480000
27/04/2020,2854.649902,2887.719971,2852.889893,2878.47998,2878.47998,5194260000
28/04/2020,2909.959961,2921.149902,2860.709961,2863.389893,2863.389893,5672880000
